county,total_danger
Alameda,186.83
Amador,37.835899999999995
Butte,285.72
Calaveras,37.2253
Colusa,70.43
Contra Costa,203.2506
El Dorado,217.9053
Fresno,55.6506
Glenn,60.910199999999996
Humboldt,14.7447
Imperial,1.0598
Inyo,5.51
Kern,77.14
Kings,1.6002
Lake,156.3453
Lassen,569.5404
Los Angeles,473.23979999999995
Madera,27.0794
Marin,0.0
Mariposa,27.1149
Mendocino,242.8602
Merced,6.0493999999999994
Mexico,6.3393999999999995
Modoc,28.499399999999998
Mono,7.995299999999999
Monterey,134.8953
Napa,149.94979999999998
Nevada,3.8540999999999994
Orange,21.659999999999997
Placer,23.2902
Plumas,0.0
Riverside,2764.7806
Sacramento,72.29
San Benito,20.685299999999998
San Bernardino,129.3149
San Diego,366.0794
San Joaquin,46.5604
San Luis Obispo,542.0
San Mateo,3.0246999999999997
Santa Barbara,166.2947
Santa Clara,118.27529999999999
Santa Cruz,5.454899999999999
Shasta,219.85469999999998
Sierra,7.4559
Siskiyou,136.18529999999998
Solano,87.9396
Sonoma,52.43
Stanislaus,96.7404
State of Nevada,6.0493999999999994
State of Oregon,1.1998000000000002
Tehama,264.58
Trinity,48.4094
Tulare,11.9153
Tuolumne,16.2849
Ventura,226.21589999999998
Yolo,11.0553
Yuba,38.545899999999996
