place,county,time,magnitude,latitude,longitude,depth
"18km SSE of Lone Pine, CA",Inyo,1593020449240,5.8,36.4468333,-117.97516670000002,4.66
"17km S of Searles Valley, CA",San Bernardino,1591234331140,5.51,35.6148333,-117.42816670000002,8.44
"249 km W of Ferndale, California",Humboldt,1589785354591,5.3,40.8483,-127.1918,10.0
"251 km W of Ferndale, California",Humboldt,1589784961579,5.0,40.7714,-127.2271,10.0
"30km SE of Bodie, CA",Mono,1586615797040,5.24,38.0525,-118.73333329999998,8.45
"15km W of Petrolia, CA",Humboldt,1584569300920,5.21,40.3475,-124.45616670000001,28.61
"69km W of Petrolia, CA",Humboldt,1583722748860,5.77,40.3916667,-125.09366670000001,3.19
"20km E of Little Lake, CA",Inyo,1562386735790,5.44,35.910166700000005,-117.68483329999998,7.41
"15km ESE of Little Lake, CA",Inyo,1562384873420,5.5,35.901166700000005,-117.7495,5.04
"16km W of Searles Valley, CA",San Bernardino,1562324873040,5.37,35.7603333,-117.575,6.95
"6km SSW of Petrolia, CA",Humboldt,1561261982890,5.58,40.2735,-124.30033329999999,9.44
"259km W of Ferndale, California",Humboldt,1557038817006,5.0,40.6203,-127.3338,10.0
"29km SW of Santa Cruz Is. (E end), CA",Santa Cruz,1522956556500,5.29,33.8375,-119.72583329999999,9.87
"180km W of Ferndale, California",Humboldt,1516901074140,5.1,40.4185,-126.3804,10.89
"175km W of Ferndale, California",Humboldt,1516898383500,5.8,40.4556,-126.3332,8.88
"218km W of Ferndale, California",Humboldt,1506109815250,5.7,40.4105,-126.8326,12.68
"80km WNW of Ferndale, California",Humboldt,1501286560910,5.08,40.782166700000005,-125.18066670000002,26.54
"8km NW of The Geysers, California",Sonoma,1481733665530,5.01,38.822166700000004,-122.84133329999999,1.48
"164km W of Ferndale, California",Humboldt,1481208585910,6.6,40.4535,-126.1936,8.45
"100km W of Ferndale, California",Humboldt,1472873277250,5.64,40.3208333,-125.68766670000001,28.57
"20km NNE of Upper Lake, California",Lake,1470797837510,5.09,39.3293333,-122.80183329999998,14.45
"20km NNW of Borrego Springs, CA",San Diego,1465545878700,5.19,33.4315,-116.44266670000002,12.31
"268km WNW of Ferndale, California",Humboldt,1454113852570,5.0,41.0363,-127.3842,10.0
"251km W of Ferndale, California",Humboldt,1454113721960,5.1,40.9167,-127.2074,10.0
"245km W of Ferndale, California",Humboldt,1429839295550,5.4,40.4556,-127.1509,10.0
"40km SW of Ferndale, California",Humboldt,1422479333710,5.72,40.3178333,-124.60666670000002,16.881
"128km W of Ferndale, California",Humboldt,1420114574570,5.36,40.442,-125.77466670000001,23.9
"2km NW of Brea, CA",Orange,1396066182170,5.1,33.9325,-117.91583329999999,5.09
"78km WNW of Ferndale, California",Humboldt,1394428693430,6.8,40.8286667,-125.13383329999999,16.441
"10km WNW of Greenville, California",Plumas,1369367228180,5.69,40.1918333,-121.0595,7.968
Gulf of California,n/a,1358099413000,5.4,25.773000000000003,-110.126,10.0
Gulf of California,n/a,1358094506220,5.7,25.891,-110.103,10.0
